"","aou","statebcr","meanabund","centroid_diff"
"3057",7270,76014,1.63492063492063,40.6681987016498
"3058",7270,77030,5.47368421052632,0.762521906160648
"3059",7270,79006,1.14285714285714,91.2668864263378
"3060",7270,79011,1.875,19.0218342145515
"3061",7270,80027,2.92105263157895,6.9787947851678
"3062",7270,80028,5.11111111111111,5.20502704622225
"3063",7270,80029,3.10294117647059,27.3214620951962
"3064",7270,81011,1.0952380952381,21.6433624811284
"3065",7270,81017,4.00613496932515,43.1214602894401
"3066",7270,82024,3.94949494949495,9.78440723515618
"3067",7270,82026,1.58064516129032,54.0924685840464
"3068",7270,82027,2.34259259259259,3.4109719972038
"3069",7270,82028,4.59041394335512,13.4501583956619
"3070",7270,83021,2.42105263157895,14.8594909604036
"3071",7270,83025,2.01369863013699,5.25973579575061
"3072",7270,83035,1.42857142857143,23.6943764511435
"3073",7270,83036,2,40.659582258447
"3074",7270,85009,1.42857142857143,7.11166975459801
"3075",7270,85016,1.88461538461538,7.75524502334845
"3076",7270,87013,3.37704918032787,31.5203232670269
"3077",7270,87014,2.68948655256724,4.36408698457816
"3078",7270,88027,2.67549668874172,14.0120441891573
"3079",7270,88028,3.25909090909091,16.0509125333429
"3080",7270,88029,2.84318181818182,6.75335244087806
"3081",7270,88030,3.7037037037037,30.4356213427558
"3082",7270,89009,2.11320754716981,9.99662461195755
"3083",7270,89010,3.85714285714286,6.6275887838085
"3084",7270,90028,4.57419898819562,29.2858914012247
"3085",7270,91012,3.22554347826087,127.618138679916
"3086",7270,91022,3.35135135135135,140.271708307091
"3087",7270,91023,4.20315342631898,4.20987384962223
"3088",7270,92010,2,9.32361442839343
"3089",7270,92016,2.38,56.6617915065547
"3090",7270,92017,2.2962962962963,21.7571832486883
"3091",7270,92018,1,16.642995615083
"3092",7290,2027,3.92426035502959,1.3135339240972
"3093",7290,2028,4.26571428571429,13.086815890023
"3094",7290,2029,4.43373493975904,10.7409026199713
"3095",7290,7025,2.54819277108434,11.6410423934859
"3096",7290,21030,1.33333333333333,6.79884458701626
"3097",7290,25027,4.25103734439834,14.9227441642535
"3098",7290,25031,2.36190476190476,8.2079039319924
"3099",7290,27027,4.30888030888031,6.29538761542314
"3100",7290,27028,3.30275229357798,4.56998052977691
"3101",7290,27029,6.15087040618956,14.2191948149757
"3102",7290,42025,3.61230769230769,8.73205959868145
"3103",7290,42026,3.17948717948718,25.2331136276612
"3104",7290,42027,5.84931506849315,12.6183362414245
"3105",7290,42037,3.71428571428571,87.4168232110984
"3106",7290,46030,3.8515625,1.9265538571226
"3107",7290,51027,3.73648648648649,24.2152254348918
"3108",7290,63027,5.46075085324232,13.4698799977441
"3109",7290,63028,1,18.6151242610516
"3110",7290,63029,2.76109215017065,22.9727377443371
"3111",7290,67025,1.96296296296296,11.1462904856295
"3112",7290,80027,4.0718954248366,6.9787947851678
"3113",7290,80028,4.41666666666667,5.20502704622225
"3114",7290,80029,5.94514767932489,27.3214620951962
"3115",7290,82024,1,9.78440723515618
"3116",7290,82028,1.3,13.4501583956619
"3117",7290,83021,1,14.8594909604036
"3118",7290,83025,2.76649746192893,5.25973579575061
"3119",7290,88027,2.49090909090909,14.0120441891573
"3120",7290,88029,2.17857142857143,6.75335244087806
"3121",7290,88030,1,30.4356213427558
"3122",7300,6016,13.6470588235294,36.1266414942159
"3123",7300,6034,17.7725118483412,39.1388045150619
"3124",7300,11009,4.03424657534247,52.0132954367132
"3125",7300,11010,1,184.946512489828
"3126",7300,14005,5.41052631578947,17.8782110595467
"3127",7300,14009,4.51851851851852,54.8775987799078
"3128",7300,14015,5,37.3571697510081
"3129",7300,14032,17.0262172284644,11.828668407773
"3130",7300,14033,4.375,30.2458430821019
"3131",7300,17016,4.71428571428571,4.36265408027678
"3132",7300,17018,11,13.6095077075976
"3133",7300,33009,3.17391304347826,48.7083948112994
"3134",7300,33010,1.5,45.6902577287303
"3135",7300,53010,3.36363636363636,42.3075031323236
"3136",7300,53017,2,19.1231415052016
"3137",7300,54018,3.8,17.1690507713488
"3138",7300,60016,6.375,17.2292279546725
"3139",7300,60034,10.8125,57.1510193187911
"3140",7300,60035,2.91489361702128,41.7053564235071
"3141",7300,69005,2,8.26569505935161
"3142",7300,69009,4.71074380165289,19.9495759984228
"3143",7300,69010,5.36521739130435,14.8916889997728
"3144",7300,81017,1.33333333333333,43.1214602894401
"3145",7300,85016,4.5,7.75524502334845
"3146",7300,89005,7,5.81801159748144
"3147",7300,89009,4.48051948051948,9.99662461195755
"3148",7300,89010,4.9811320754717,6.6275887838085
"3149",7300,92010,1.25,9.32361442839343
"3150",7300,92016,4,56.6617915065547
"3151",7300,92017,4,21.7571832486883
"3152",7310,2024,15.6521739130435,29.3646272846645
"3153",7310,2027,12.8089133089133,1.3135339240972
"3154",7310,2028,14.8298555377207,13.086815890023
"3155",7310,2029,15.6111111111111,10.7409026199713
"3156",7310,7024,17.1092150170648,3.09616837753351
"3157",7310,7025,15.1860465116279,11.6410423934859
"3158",7310,7026,8.84615384615385,6.59558779913199
"3159",7310,18014,13.0526315789474,26.6138303040691
"3160",7310,18030,16.6334012219959,9.58373497808971
"3161",7310,21030,11.3504043126685,6.79884458701626
"3162",7310,25027,15.4387990762125,14.9227441642535
"3163",7310,25031,11.0552486187845,8.2079039319924
"3164",7310,27027,14.507328990228,6.29538761542314
"3165",7310,27028,15.6311111111111,4.56998052977691
"3166",7310,27029,16.6383647798742,14.2191948149757
"3167",7310,34022,5.50968523002421,5.22161191583665
"3168",7310,34023,3.07317073170732,17.8530055076151
"3169",7310,34024,16.4130982367758,21.6863000283277
"3170",7310,35022,6.54323001631321,3.39870316549845
"3171",7310,35023,6.13636363636364,10.5919803703295
"3172",7310,35024,14.6274165202109,2.63066665747113
"3173",7310,36011,1.4375,29.4620781144102
"3174",7310,36022,2.38910505836576,14.3814621048881
"3175",7310,36023,1.5,44.8752471692906
"3176",7310,38019,3.9646017699115,27.2534171365424
"3177",7310,38022,8.55993690851735,7.67496828634136
"3178",7310,39024,12.3755060728745,16.7324744215015
"3179",7310,39026,17.8484848484848,13.3326108448347
"3180",7310,39027,8.34883720930233,18.4033002776717
"3181",7310,39028,16.8691588785047,35.8721127731194
"3182",7310,42025,13.7438596491228,8.73205959868145
"3183",7310,42026,9.81026785714286,25.2331136276612
