"","year","centroid.lat","centroid.lon","mean_abund"
"1",1969,48.2680574293769,-105.724586389389,2.76235632183908
"2",1974,48.9227556980961,-103.973996305149,3.05687830687831
"3",1979,48.0059655573802,-102.96979648763,3.12528735632184
"4",1984,48.4834988836953,-103.608720842307,3.09564393939394
"5",1989,48.2116174253523,-103.395765812815,3.70015290519878
"6",1994,46.3926844870414,-99.8307840999228,2.89028871391076
"7",1999,44.9150091865681,-96.9986356722234,2.67476525821596
"8",2004,47.2320871623613,-100.767764507015,3.47858585858586
"9",2009,46.1674491543444,-99.1127326017224,2.97421052631579
"10",2014,46.5808732924297,-100.039732709012,3.23310023310023
