"","year","centroid.lat","centroid.lon","mean_abund"
"1",1969,44.1001255677216,-123.420545769418,14.018253968254
"2",1974,43.1691200002632,-119.485105578576,11.1171985815603
"3",1979,44.6414507136361,-123.805439747094,11.8093869731801
"4",1984,42.4209030629195,-116.009529520615,9.65482866043614
"5",1989,44.3936954142566,-118.211754943322,10.7761589403974
"6",1994,42.6366702629307,-113.005240625889,9.96790780141844
"7",1999,42.8327880526681,-114.98138777351,10.2203804347826
"8",2004,41.8314009879602,-113.231758932691,10.2649122807018
"9",2009,40.9343035188169,-110.277072278511,10.2864583333333
"10",2014,42.7774536398984,-113.492281754399,10.2205588822355
