"","year","centroid.lat","centroid.lon","mean_abund"
"1",1969,29.7009612627653,-102.473677206817,5.716
"2",1974,31.1108822233946,-105.372869041188,4.42043010752688
"3",1979,30.9827000157263,-103.921261093816,3.50847953216374
"4",1984,31.0153628268893,-103.627506699105,3.26027777777778
"5",1989,31.0413259857227,-105.963408867412,5.25452674897119
"6",1994,31.0514948767787,-104.88834016702,4.62400497512438
"7",1999,31.4707484246523,-105.212723371743,3.50307692307692
"8",2004,31.2552325624885,-103.537160267161,3.50766666666667
"9",2009,31.0466186773018,-103.39119990798,3.43196347031963
"10",2014,32.1673546631345,-107.027711857692,4.86259541984733
