"","year","centroid.lat","centroid.lon","mean_abund"
"1",1969,41.4722256649876,-88.3138661860269,1.57789226319595
"2",1974,41.7107572798629,-89.4722448773863,1.61668201350522
"3",1979,42.206589820942,-89.3846040480489,1.66278385197645
"4",1984,41.1506761545559,-89.31690654138,1.70924908424908
"5",1989,40.3554176103689,-89.5359547144668,1.73384988403964
"6",1994,40.0605420532319,-88.9534502756984,1.71423794438578
"7",1999,39.9952880807064,-88.680234740767,1.76374561403509
"8",2004,40.0674414218125,-88.2024178955664,1.83750423872499
"9",2009,39.8430886779338,-86.8894155390913,1.79504570682338
"10",2014,40.5065899646782,-87.2227361321874,1.89038608562691
