"","year","centroid.lat","centroid.lon","mean_abund"
"1",1969,30.9275441692657,-102.704779570777,16.9141975308642
"2",1974,31.9308743974419,-103.601223231956,12.5842465753425
"3",1979,32.3138044550729,-103.554282472056,11.2384444444444
"4",1984,32.0704222097566,-103.887729868692,9.40941176470588
"5",1989,29.4198277243157,-95.5496165950356,8.98913857677903
"6",1994,30.9659920689701,-99.5114424272342,7.41464646464646
"7",1999,30.5100224938772,-99.7648456917116,9.57160493827161
"8",2004,30.9790094120779,-99.6805624550404,10.9094202898551
"9",2009,30.3834859746089,-98.6806567994392,5.80529715762274
"10",2014,32.0003424093056,-102.369418662716,13.5289256198347
