"aou","shiftdist","velocity","bearing","r","lat_slope","lat_pval","lon_slope","lon_pval","distance_ratio","dratio_rand_mean","dratio_rand_sd","direction.lat","direction.lon","shiftdir","popchange"
2890,408.547202875965,8.69249367821203,-81.1593845882353,-0.727104915575112,0.0151049996470312,0.0122403968698545,-0.0932275065459413,9.22717116423987e-06,0.634501968834005,NA,NA,"north","west","northwest","decreasing"
2930,211.750779439848,4.50533573276272,-27.2180998730657,0.208205305535209,0.0236230285260565,0.00995764946497239,-0.0173882838210915,0.0920237853728196,0.572919733199084,NA,NA,"north","","north","increasing"
2940,269.52578039111,5.73459107215127,17.0744909080692,0.321380128742322,0.0700233137123839,0.00011832050527831,0.0282601090933886,0.000529069358979875,0.590391205248999,NA,NA,"north","east","northeast","increasing"
3080,320.078745870334,6.81018608234752,138.240579364216,0.902015330517624,-0.0322712386419794,0.0218412516202059,0.0722163734250171,0.0198083521208677,0.339701913457959,NA,NA,"south","east","southeast","increasing"
3100,755.958726350218,16.0842282202174,2.65284078662829,1.70327156204602,0.121825558092864,0.00123821979415916,0.0116647417390287,0.544730850473755,0.639891389785757,NA,NA,"north","","north","increasing"
3200,341.644674343194,7.26903562432328,-73.1563614734564,0.0354457897891938,0.0173684888256641,0.000258693742207235,-0.0711785765387735,0.0649948523632366,0.285445104469469,NA,NA,"north","","north","increasing"
3210,200.027676635896,4.2559080135297,75.3872283317239,0.364939253940508,0.0191501687617577,0.0879944501990352,0.02839104832458,0.174105703196789,0.218891656245119,NA,NA,"","","","increasing"
3260,78.0688686881032,1.66103975932135,-12.0920905309986,1.41521189745376,0.0032240741387492,0.550870195656066,-0.0125652444339198,0.374528045621394,0.110462340857413,NA,NA,"","","","increasing"
3750,817.578346898034,17.3952839765539,-57.9223383595399,0.571599294681831,0.0824051071058415,0.0420170527988875,-0.214997406640062,0.00328397161707947,0.284827813510147,NA,NA,"north","west","northwest","increasing"
3850,80.9750724274765,1.72287388143567,-52.9533193988768,0.652452817935665,-0.00152229659058769,0.741375238125594,0.0232939740799754,0.31577349459534,0.109631222164519,NA,NA,"","","","increasing"
3930,1164.4969631943,24.7765311317937,-47.929120534349,1.07005014102615,0.125878481471396,5.92482374148399e-05,-0.251773629728441,0.00495388214817514,0.55657057792685,NA,NA,"north","west","northwest","increasing"
3940,298.068236927879,6.34187738144424,-53.9679636323659,0.617931296723982,0.0305686999918619,0.0632736458971815,-0.0710437016333216,0.106646788742548,0.234051487041924,NA,NA,"","","","increasing"
4050,430.459805506432,9.15871926609429,6.3953045210385,1.1574265069609,0.0842267584339567,1.31632379040047e-05,-0.0119075512739773,0.698888003968034,0.392583139257845,NA,NA,"north","","north","increasing"
4090,131.297577278111,2.79356547400236,-0.078329741614783,0.892015203790225,0.0226758261247437,0.0013113269975685,0.00210810873248091,0.597197524033878,0.396845028835389,NA,NA,"north","","north","increasing"
4780,460.020792097564,9.78767642760775,-17.1802413585069,0.716046041646435,0.0890845435944214,0.00930241105011797,-0.0487901842997234,0.0352307353052227,0.310393524684104,NA,NA,"north","west","northwest","increasing"
