"","aou","shiftdist","velocity","bearing","r","lat_slope","lat_pval","lon_slope","lon_pval","direction","direction2","shiftdir","popchange"
"1",2890,488.012431819046,10.3832432301925,-92.1663950160598,-1.18356506701702,-0.00140313525317332,0.762589510595851,-0.112209067423792,7.96722688690111e-06,"","west","west","decreasing"
"2",2930,195.571486183232,4.16109545070707,-29.0327471885743,-0.468857752207019,0.0170680571737963,0.112481633721559,-0.0178160430033416,0.0218852585195348,"","west","west","decreasing"
"3",2940,282.73003702914,6.01553270274765,4.58332770817618,-0.140205212011533,0.07979088834462,0.000139682529275567,0.00974368504470176,0.00597538823952823,"north","east","northeast","decreasing"
"4",3080,174.553949339564,3.7139138157354,104.200552895543,0.132336111979016,-0.00494287961590091,0.452033627752397,0.0336266391254324,0.0965769973739683,"","","","increasing"
"5",3100,616.917443204072,13.1259030468951,2.61655859605569,0.143605562573148,0.099910024905683,0.000751358326627041,-0.000453384552971421,0.980574870294688,"north","","north","increasing"
"6",3200,263.255328684339,5.60117720604977,-73.0466463062192,-0.558582566602364,0.0115116725366166,0.0015174543897646,-0.0613781514186719,0.064124078724687,"north","","north","decreasing"
"7",3210,246.398267429833,5.24251632829433,65.5281439395954,-0.317869016190521,0.0287281519762002,0.00148375732599165,0.0361962176829083,0.00706838867453537,"north","east","northeast","decreasing"
"8",3260,130.033646261556,2.76667332471395,23.1231902009797,0.493374527977168,0.0102231212690943,0.146704065849702,0.000560927374655127,0.95843726331178,"","","","increasing"
"9",3750,275.445786355701,5.86054864586599,-84.9265029354526,-0.0849190527687947,-0.0112622178950358,0.241151160298081,-0.054487828945172,0.0667960616501373,"","","","decreasing"
"10",3850,37.9290366048676,0.80700077882697,3.92359543768423,0.06637933502041,-0.00501893566731493,0.357142608987393,0.0448443972550027,0.11128915908635,"","","","increasing"
"11",3930,374.6137110564,7.9705044905617,-69.2714400336575,0.136758272592463,0.0218593316075552,0.000793931968061623,-0.110597634717352,0.0109063207172825,"north","west","northwest","increasing"
"12",3940,46.5927906459169,0.991335971189722,-125.567299209619,0.161583824331257,-0.0114785823518447,0.00427049708074392,-0.012627582771874,0.100627852275068,"south","","south","increasing"
"13",4050,240.743083610349,5.12219326830529,17.2288789855167,0.209060525617617,0.0435141431276885,0.000343052134032095,0.00207788993911457,0.89086901451458,"north","","north","increasing"
"14",4090,133.526258204391,2.8409842171147,8.90348584550364,0.306093616986523,0.0222564408034378,0.00198849002284808,0.00576523505555932,0.0743105961935041,"north","","north","increasing"
"15",4780,205.234699102401,4.366695725583,8.48378899978517,-0.24302557736398,0.0324523267535082,0.000842801768998064,0.0172304707735135,0.0942859384343348,"north","","north","decreasing"
"16",4860,642.202875365694,13.6638909652275,-88.8088580896667,0.171151219709912,0.000479743219905138,0.926958023246071,-0.174711770802317,0.000144000300111793,"","west","west","increasing"
"17",4900,221.047159083568,4.70313104433124,2.09886575160048,-0.401930536051491,0.0410622596889023,0.000104686999156971,0.00148551115957853,0.847050093085411,"north","","north","decreasing"
"18",5120,504.328757181331,10.7303990889645,-44.6854243131375,-0.859313553078579,0.0766359949039946,2.82853251005377e-06,-0.107135832798178,2.50220756573577e-05,"north","west","northwest","decreasing"
"19",5300,189.4447204845,4.03073873371276,70.2769345768709,-0.380618129568648,0.00295097317346737,0.760198284833944,0.0731187433156317,0.0103904175989775,"","east","east","decreasing"
"20",5800,191.673129472633,4.07815169090708,-74.6913752225314,-0.014879447216982,0.0118449669666896,0.148410654194276,-0.0511369855331616,0.16687630237404,"","","","decreasing"
"21",5930,30.3713570691461,0.646199086577577,-13.0898259450174,0.214788039314509,-0.00288599493147837,0.546500990416211,-0.0099695288493638,0.0845865978568138,"","","","increasing"
"22",5940,231.463989912528,4.92476574281975,-44.8083454675028,-1.41285157212851,0.0405138444345623,0.000281625323861139,-0.0474971004327405,0.000312285852183297,"north","west","northwest","decreasing"
"23",7030,70.6438523224837,1.50306068771242,-83.0288897135326,-0.172639989217773,-0.00255265949627996,0.467261766370315,-0.0289150790915152,0.0781117241029152,"","","","decreasing"
"24",7070,586.677940155933,12.4825093650199,-55.9165599230661,-0.425656555533427,0.0413540420851484,0.00405235100467831,-0.0665094272652421,0.0321079325065831,"north","west","northwest","decreasing"
"25",7180,96.7999148733299,2.05957265687936,54.5900111267292,0.419253387299373,0.00912536725399861,0.286782045836625,0.000868742306360258,0.929076690107586,"","","","increasing"
"26",7270,103.846383653199,2.20949752453615,121.218830689307,0.397647433136733,-0.0102199365962832,0.00955003532019105,0.0288118612991153,0.165135798374775,"south","","south","increasing"
"27",7290,198.856016743292,4.23097907964452,58.1417762058779,-0.118224107468261,0.0168191537550879,0.000867661047696758,0.0279889197934709,0.00362352694939389,"north","east","northeast","decreasing"
"28",7300,414.765320316086,8.82479404927842,81.37303417685,-0.144662833421809,0.0385113437387332,0.0851158127610119,0.103259499069536,9.95882143922966e-06,"","east","east","decreasing"
"29",7310,91.098150860781,1.93825852895279,91.5052951399909,0.578063607777845,-0.00356422537190435,0.314347074251437,0.013390447557569,0.0588855353630235,"","","","increasing"
"30",7350,123.017716822688,2.61739823026995,-2.673580621041,0.463647800035181,0.0199903522674159,0.000210501473944639,0.00420476882169806,0.757916381838953,"north","","north","increasing"
"31",7360,93.4591452851452,1.98849245287543,77.057518796774,0.332265252994136,-0.00222988371542308,0.6499565313572,0.000796971636252888,0.940013706461892,"","","","increasing"
"32",7380,243.597438261996,5.18292421834034,50.0984428033761,-0.284378241160899,0.0327560491575315,0.0058563765937619,0.05214742398458,0.00261514059998695,"north","east","northeast","decreasing"
