"","aou","shiftdist","velocity","bearing","r","lat_slope","lat_pval","lon_slope","lon_pval","direction.lat","direction.lon","shiftdir","popchange"
"1",2890,389.286258007361,8.28268634058216,-92.7989611873034,-1.16008475216201,0.0061348043776292,0.348404251049744,-0.0748398616188217,3.94401016306609e-05,"","west","west","decreasing"
"2",2930,99.7656265487168,2.12267290529185,-31.7524482328841,-0.652025182191049,-0.000923442544779317,0.921976655203365,-0.00485681312094604,0.684962436556635,"","","","decreasing"
"3",2940,92.347290997035,1.96483597866032,22.1273113732717,-0.0347477325756522,0.0183137657145765,0.0311038375899507,0.0167518364457862,0.0295833771815267,"north","east","northeast","decreasing"
"4",3080,678.02542838007,14.4260729442568,107.818294065662,0.176094786879193,-0.0275821023963132,0.124911467720294,0.153009759580035,0.00455342866395531,"","east","east","increasing"
"5",3100,420.304121447824,8.94264088186859,-73.3457591562043,0.554712288263196,-0.0130709437864376,0.724777804804019,-0.138113877804309,0.000374849964626639,"","west","west","increasing"
"6",3200,220.708810777602,4.6959321442043,-77.1905234963866,-0.426497083636781,0.0134152350991342,0.0191151113816892,-0.0576654725909104,0.0509306180612399,"north","","north","decreasing"
"7",3210,376.195718826793,8.00416423035729,91.0830292132941,-0.587672482924461,0.0192492455011707,0.177051281562337,0.0419396027776993,0.234956068612607,"","","","decreasing"
"8",3260,126.430785954844,2.69001672244348,-57.4524152473822,0.597149346597942,0.000143911915702235,0.984975639539738,-0.0386938149000864,0.0211641080665676,"","west","west","increasing"
"9",3750,38.3458757057932,0.815869695867941,106.562092056653,-0.029230611929532,-0.00619089433590554,0.488587861072756,0.0077626039325565,0.57696144781176,"","","","decreasing"
"10",3850,229.69708424275,4.8871720051649,112.786918946782,0.143339877813652,-0.0181140125360433,0.000651747866380218,0.0612954476677519,0.00352826164683425,"south","east","southeast","increasing"
"11",3930,196.752815230479,4.18623011128679,-100.745906238617,0.187300172249688,-0.0242892586576382,0.0252178500565618,-0.0667133825073324,0.00158397267312816,"south","west","southwest","increasing"
"12",3940,255.397268064604,5.43398442690648,108.063430386924,0.160395785657917,-0.0183591590849182,0.0105138487038205,0.0561295694917025,0.00660768970282807,"south","east","southeast","increasing"
"13",4050,170.785862679482,3.63374175913791,30.6160812601543,0.164281792058831,0.0186001963503833,0.035899286845986,0.00407973259460066,0.797602301367855,"north","","north","increasing"
"14",4090,139.623986811359,2.97072312364593,-6.93446647244506,0.259884132401823,0.0203556923510615,0.000258057869071533,-0.000336012580626371,0.954683148654202,"north","","north","increasing"
"15",4780,48.3316962267475,1.02833396227122,103.815420043472,-0.148195209745949,-0.0142083019568101,0.0806353350549558,0.0282955214241911,0.0399624321701462,"","east","east","decreasing"
"16",4860,194.115789242303,4.13012317536814,-83.1891197809534,0.464206923077346,0.0170510243047092,0.102751989265286,-0.0491353777796643,0.0178990802582366,"","west","west","increasing"
"17",4900,284.671963705464,6.05685029160561,-4.19073785427006,-0.520278846848221,0.0606943742455414,3.68966337031119e-05,-0.0131518458170064,0.275797013020108,"north","","north","decreasing"
"18",5120,523.542779801954,11.1392080808926,-52.5482676858579,-0.815046668229391,0.0658170992045217,4.13981249454158e-05,-0.104037391765793,1.33024775568444e-06,"north","west","northwest","decreasing"
"19",5300,434.81510983789,9.25138531569978,112.3939350308,0.161423146525218,-0.0466591078181309,0.00788752853552695,0.111611198234006,0.000303864634048525,"south","east","southeast","increasing"
"20",5800,225.154797096798,4.79052759780422,-64.8631107043251,0.0946313991779892,0.0218900398606121,0.0425221699886079,-0.0674539358300343,0.0244542483295671,"north","west","northwest","increasing"
"21",5930,82.687295712033,1.75930416408581,-40.1131546394333,0.216029808423821,0.00636168490515654,0.0933821380621375,-0.0211358132660333,0.0556295047812939,"","","","increasing"
"22",5940,53.1653027415933,1.13117665407645,-15.0578158034708,-0.78397634888197,0.025049499579738,0.00910625933031325,-0.0217318164879496,0.0481105324215663,"north","west","northwest","decreasing"
"23",7030,89.8892623254132,1.91253749628539,-58.1032709822931,-0.278548424955184,0.0127938772838226,0.000273345275815407,-0.0190422317111292,0.0137208305759294,"north","west","northwest","decreasing"
"24",7070,323.06457986144,6.87371446513701,-57.8410581860039,0.0881561509101338,0.0342909127868855,0.000383634390756527,-0.100155233926956,0.00171217693714886,"north","west","northwest","increasing"
"25",7180,119.666136435826,2.5460880092729,15.1447392227338,0.411808455019738,0.018066939761459,0.0178495580783338,-0.00818386380853145,0.323834895686608,"north","","north","increasing"
"26",7270,268.016582144217,5.70248047115356,94.5255681921028,0.296326519433693,-0.00542019453149328,0.378728391865278,0.0276818503072086,0.195605159480687,"","","","increasing"
"27",7290,229.970601375479,4.89299151862722,53.7150334592922,0.0320029418865112,0.0198822406732544,0.000223497937093018,0.0215525757281885,0.11155877170154,"north","","north","increasing"
"28",7300,409.82004026235,8.71957532473086,123.200586079257,-0.120869197002575,-0.0190431253708954,0.178755067265947,0.0911040268835084,1.10790210824168e-05,"","east","east","decreasing"
"29",7310,113.206968312528,2.40865890026656,73.5232782009139,0.600354275356101,0.00852497326761914,0.305153770797449,0.0278165532900896,0.131913807208046,"","","","increasing"
"30",7350,329.41086729719,7.00874185738702,89.9503768307445,0.448948519850767,0.00335712846206105,0.558135670135289,0.0822347754514421,0.0085211590420048,"","east","east","increasing"
"31",7360,92.821339579962,1.97492211872259,64.01253537018,0.364619188844611,0.00380040291077611,0.574378606654553,0.00235264996603047,0.843590402120122,"","","","increasing"
