"aou","shiftdist","velocity","bearing","r","lat_slope","lat_pval","lon_slope","lon_pval","distance_ratio","dratio_rand_mean","dratio_rand_sd","direction.lat","direction.lon","shiftdir","popchange"
2890,417.692290535276,8.88707001138885,-84.5646670039862,-1.19743250377427,0.0166244799048222,0.0149592498574065,-0.0885199936618416,2.01129677287385e-06,0.777612426519024,NA,NA,"north","west","northwest","decreasing"
2930,131.7051791661,2.80223785459787,-22.9940332354955,-0.525050949449152,0.00610305258084505,0.450302019668836,-0.00963547841939,0.0290997414192508,0.355968562521144,NA,NA,"","west","west","decreasing"
2940,218.111128038665,4.64066229869499,7.3870797338802,0.0333426947221319,0.0463747449201382,0.000170671813634436,0.0117094541567364,0.00456460603302312,0.509679058642989,NA,NA,"north","east","northeast","increasing"
2950,175.916945075333,3.74291372500709,90.8688470181816,0.196855713466942,-0.00189119648541288,0.317705987149215,0.0480277967357782,0.00317055495259841,0.325788554764376,NA,NA,"","east","east","increasing"
3000,348.081535135432,7.40599010926452,-63.9252851101672,-0.0243378831765091,0.0237518868306007,0.013207977645173,-0.114815257804636,0.00397536755628533,0.393922140523462,NA,NA,"north","west","northwest","decreasing"
3080,281.842868875701,5.99665678458939,110.167091708144,0.0986198148534816,-0.012034187191075,0.202449667527033,0.057005948449995,0.0189883558342268,0.396883147476034,NA,NA,"","east","east","increasing"
3100,646.190632146505,13.7487368541809,-17.3984610371073,0.158163130859899,0.0950376035954896,0.00206101192327373,-0.0672498855898425,0.000949507719650885,0.627005930155794,NA,NA,"north","west","northwest","increasing"
3200,253.819098928685,5.4004063601848,-84.4963208402854,-0.614947812501343,0.0109459591818743,0.0455504420207888,-0.062197136482371,0.0145718497080237,0.302276231422431,NA,NA,"north","west","northwest","decreasing"
3210,309.875861653639,6.59310343943913,77.0301075922204,-0.407240247163758,0.0284450715525372,0.00652408789796857,0.0465887450686205,0.00721514857671232,0.521474315850623,NA,NA,"north","east","northeast","decreasing"
3260,123.746260840802,2.63289916682557,-28.7444528813077,0.437269370421753,0.0143017724482262,0.0296759857180628,-0.015097761852546,0.0952979547315058,0.234278003367458,NA,NA,"north","","north","increasing"
3680,142.94489112633,3.04138066226234,12.6950151631038,0.0438185688685601,0.0154390124722858,0.118404774360626,-0.0318495264456637,0.0704917944874398,0.164933354249826,NA,NA,"","","","increasing"
3730,212.794825979961,4.52754948893534,68.1766043697411,-0.160955313602232,0.0044938112071225,0.632658783425265,0.0176232341318788,0.429965979057913,0.212213294534731,NA,NA,"","","","decreasing"
3750,112.356622681377,2.3905664400293,-118.610589045325,-0.05856493792326,-0.0243397912545842,0.00835755194286195,-0.0195126547750534,0.336427803129639,0.149599201783617,NA,NA,"south","","south","decreasing"
3790,217.531001572362,4.62831918239068,-0.530437286835454,-0.0604545667001081,0.0533523349627126,0.0119986497852561,0.0169633630248082,0.342678209284834,0.171251020869207,NA,NA,"north","","north","decreasing"
3850,94.5131852095517,2.01091883424578,68.7225079944319,0.084560569656517,0.000959935043721256,0.86616819810362,0.0403983923738516,0.10296372145542,0.0971095825687825,NA,NA,"","","","increasing"
3930,178.808556626775,3.80443737503777,-56.3894144989864,0.10657975942951,0.0156333287336378,0.000921809507129843,-0.0508476620798314,0.0345425255032627,0.278845398440865,NA,NA,"north","west","northwest","increasing"
3940,31.5670372666044,0.671639090778817,50.7443498111864,0.151149538902514,-0.000296051109404676,0.917949812159786,0.00689452338268112,0.378508324098897,0.100389845133972,NA,NA,"","","","increasing"
3960,45.6378719613128,0.971018552368358,-66.4052559020041,0.143545089055503,0.00781821226069577,0.128449920663959,-0.0195087389563116,0.165034890623097,0.0700374324286521,NA,NA,"","","","increasing"
4000,372.031538206366,7.91556464268863,131.377792765807,-0.066153345093448,-0.0291671963058473,0.070870429909544,-0.188661393069525,0.197859943506745,0.128390172578273,NA,NA,"","","","decreasing"
4010,1181.40146215686,25.1362013224864,-136.694180934361,0.316077704860835,-0.186126338397154,4.74264909068336e-05,-0.0527380440969744,0.780838231990147,0.193765292929871,NA,NA,"south","","south","increasing"
4050,215.050367560858,4.5755397353374,4.61931065538535,0.146815257578182,0.0459102600855443,3.62653229975514e-05,0.0010783285285664,0.88368258086084,0.488425877391888,NA,NA,"north","","north","increasing"
4090,167.385664983608,3.56139712731082,-5.83382358245624,0.289588820695192,0.0305652955682311,6.84698029136674e-06,8.02575318347874e-05,0.984162316147262,0.634209232072389,NA,NA,"north","","north","increasing"
4580,130.52579371693,2.77714454716873,93.1707443770859,0.412686511524053,-0.00921784335935853,0.0936837356117851,0.0398053511365888,0.000828245935134734,0.247872731942183,NA,NA,"","east","east","increasing"
4750,153.143462282943,3.25837153793496,21.6495209949056,-0.186954494705887,0.0398795648314908,9.06667375329607e-05,-0.00350060956005642,0.749975224190662,0.342967856265316,NA,NA,"north","","north","decreasing"
4780,82.8567181248778,1.762908896274,-20.9046218145325,-0.0310204563538502,0.00173975873091748,0.806419311396153,0.00762957775076728,0.41644983225251,0.227417200485436,NA,NA,"","","","decreasing"
4840,831.248821395191,17.6861451360679,-92.6512510651586,-0.0742011737758529,-0.0109897718484205,0.0432799681849795,-0.239123964867356,0.000593070404643696,0.502777375346323,NA,NA,"south","west","southwest","decreasing"
4860,649.854644524695,13.8266945643552,-94.7942599436004,0.26569126453788,-0.0167232569201289,0.0132945204545476,-0.18688570797814,3.17821053408209e-06,0.711199724881044,NA,NA,"south","west","southwest","increasing"
4870,370.896616616248,7.8914173748138,-16.0859011501323,-0.305433261433444,0.0539929421636527,0.0025368616426442,-0.0197851606133308,0.125100164723306,0.39185290835464,NA,NA,"north","","north","decreasing"
4900,274.732130792388,5.84536448494442,0.824216533695894,-0.592201388059429,0.0528625393323253,3.97544866095785e-06,0.00586477671037494,0.450829950509467,0.625334972164523,NA,NA,"north","","north","decreasing"
4910,326.513456191309,6.94709481258104,96.0293287074798,0.194029165564585,-0.00811146422179718,0.240706031581904,0.0642489862105975,0.0125130045159076,0.38276394771333,NA,NA,"","east","east","increasing"
4920,331.257948054146,7.04804144796055,-73.1584568302159,-0.156759841527646,0.0120903626843261,0.462868117400941,-0.0484867387627986,0.171843414857889,0.276643590073656,NA,NA,"","","","decreasing"
5120,477.925781243978,10.1686336434889,-41.7932156731197,-0.89742836505655,0.0792797430901515,2.68366371513522e-05,-0.0870736751877627,1.60180095665748e-05,0.874758698082068,NA,NA,"north","west","northwest","decreasing"
5130,224.060882554688,4.76725282031251,-16.7202180039383,-0.398940236922351,0.0309199531057638,0.0191287610400436,-0.010449669250804,0.525173056160483,0.295841526340746,NA,NA,"north","","north","decreasing"
