"aou","shiftdist","velocity","bearing","r","lat_slope","lat_pval","lon_slope","lon_pval","distance_ratio","dratio_rand_mean","dratio_rand_sd","direction.lat","direction.lon","shiftdir","popchange"
2890,486.494649816262,10.3509499960907,-92.1742111680151,-1.18291002598972,-0.00139743706950037,0.763228198619639,-0.111921242339674,7.55534503899199e-06,0.709661315311009,0.287930077579016,0.0548279750383185,"","west","west","decreasing"
2930,200.587231555876,4.26781343735906,-31.7259661226089,-0.507665462739884,0.0177326352592671,0.0879396172118654,-0.0190726286965426,0.0920969323424791,0.412584987707167,0.282620753264201,0.0341710553634293,"","","","decreasing"
2940,251.852532537586,5.3585645220763,6.39507807658503,-0.0910237042095056,0.0723982016321341,0.000380755511989647,0.0113767282974617,0.00198194435155508,0.513701743499624,0.17953629550739,0.0408183330614704,"north","east","northeast","decreasing"
2950,182.481096702194,3.88257652557859,87.2558638780928,0.407650406767529,0.00123456132133682,0.520814206869163,0.0412130994847368,0.00734322621884085,0.341431922857729,0.242807465988655,0.0483714766606699,"","east","east","increasing"
3000,838.417875750744,17.8386782074626,-61.9521391904134,0.0623582677343854,0.0713349664291162,0.000193566855319192,-0.2595825447955,0.00202138573448952,0.425534133512327,0.212302877982415,0.0385464087711065,"north","west","northwest","increasing"
3080,150.645656881771,3.20522674216535,101.56648675172,0.121526665396925,-0.00328263732028819,0.629282694641522,0.0294770697906555,0.145957146011799,0.215022003313204,0.192957225907406,0.0217076700627777,"","","","increasing"
3100,615.261815990632,13.0906769359709,3.32161375270719,0.145261354053478,0.100077680690621,0.000671989422903995,0.000449822742264669,0.981125605874798,0.541159957943331,0.291282976464667,0.0391124131170894,"north","","north","increasing"
3200,288.502273957045,6.13834625440522,-73.8125957866027,-0.565982262684492,0.012286874755032,0.00107312406082579,-0.068501856737925,0.046918666046368,0.264723925696496,0.176537284194077,0.039150103676028,"north","west","northwest","decreasing"
3210,239.824360321867,5.10264596429505,64.512941407393,-0.325612693878971,0.0288351688448885,0.00374712181738028,0.034135411952518,0.0988555619946848,0.300364236508673,0.197797016137658,0.0232404730738623,"north","","north","decreasing"
3260,126.203828402643,2.68518783835411,20.4691935749666,0.494159841067936,0.00995589074812084,0.155952387276287,-0.00105255113536574,0.920149141064288,0.20052486057173,0.205536356883653,0.0251805444020348,"","","","increasing"
