"","aou","shifted_dist","velocity","bearing","population_change"
"1",2890,257.628371680923,5.25772187103924,167.709164993594,-26.2329184103898
"2",2930,132.964850870453,2.71356838511129,-20.366703386665,-9.3034126984127
"3",2940,455.569107559135,9.29732872569663,70.162443717482,-1.00274891774892
"4",3080,424.24485480044,8.65805826123346,119.578639086682,-0.213750971250971
"5",3100,701.61287572628,14.3186301168629,59.4404861535921,0.524709481821775
"6",3200,941.027541262253,19.2046436992297,108.757392026655,-4.39956370899916
"7",3210,880.280772886541,17.9649137323784,97.5797622197153,-0.823484848484848
"8",3260,1137.44581422355,23.2131798821133,106.531141014493,2.79804943156172
"9",3750,151.896637182496,3.09993137107134,156.966496159689,-0.1848745646747
"10",3850,470.905151472411,9.61030921372268,103.505297596955,-0.00125713658322368
"11",3930,128.141408376861,2.61513078320124,-113.371876550813,0.214642620219006
"12",3940,522.468952760637,10.6626316889926,131.386323653177,0.319995021004233
"13",4050,862.521447876448,17.6024785280908,101.940857931234,0.453303649614011
"14",4090,872.713988792633,17.8104895671966,107.31464620291,2.61185330207793
"15",4780,339.110834312593,6.92062927168557,70.4497943005584,-2.18435628298642
"16",4860,314.008658193234,6.40833996312722,-87.7465076585097,0.81920337806571
"17",4900,600.91805497931,12.263633775088,93.8413940117609,-2.47604083363625
"18",5120,262.856808200903,5.36442465716128,-32.8385917232133,-38.9051700357256
"19",5300,418.307243665108,8.53688252377771,89.6984879159957,-2.08780780780781
"20",5800,238.196831469658,4.8611598259114,150.779639949051,0.356172839506173
"21",5930,632.248496022227,12.9030305310659,114.242172097124,5.57443376191187
"22",5940,150.621002552167,3.07389801126872,-18.3172003559053,-36.9284722222222
"23",7030,204.744722912022,4.17846373289841,124.228829757051,-8.84017489364852
"24",7070,467.720516053413,9.54531665415128,-51.8838041205322,-3.58258685758686
"25",7180,891.564066585878,18.1951850323649,106.327359285578,6.94451186035252
"26",7270,517.316993277546,10.5574896587254,140.962811273766,1.27450887082998
"27",7290,1036.6670848547,21.1564711194836,106.280404908369,-0.219049228310917
"28",7300,877.616517895611,17.9105411815431,90.9210773728287,-2.34973051409619
"29",7310,948.517367200999,19.3574972898163,112.490335958087,6.05378163676305
"30",7350,76.1607238204273,1.55430048613117,92.045773701033,2.59378187646444
"31",7360,926.702235590499,18.9122905222551,113.24272683309,2.86769855366658
"32",7380,565.509497593312,11.5410101549655,84.2651342081389,-2.99423849112091
"33",7410,862.185222744335,17.5956167907007,94.5653911979083,-0.932349401215623
"34",7430,381.880981612835,7.7934894206701,86.2927516716585,-5.05532679738562
"35",7460,219.288260592662,4.47527062434005,-48.7604023892927,0.048828125
