"","year","centroid.lat","centroid.lon","mean_abund"
"1",1966,30.7990011459312,-102.207683709374,17.3883333333333
"2",1971,31.4774018699201,-103.092512333008,15.7350490196078
"3",1976,32.0373315328741,-103.658416170035,11.0796052631579
"4",1981,32.3644464475503,-103.560586480772,11.8350746268657
"5",1986,32.3804046649286,-103.777911958989,9.10583333333333
"6",1991,30.1958090735638,-97.6739779243833,7.42609819121447
"7",1996,30.9152553808243,-99.9376409412976,9.65727513227513
"8",2001,30.6784082549345,-99.8152450339809,10.9171604938272
"9",2006,31.0365967608532,-99.6916577229623,8.3325
"10",2011,31.9223328900429,-102.696964403946,8.08492063492064
