"","year","centroid.lat","centroid.lon","mean_abund"
"1",1966,37.589600465044,-120.155553758646,10.8939393939394
"2",1971,38.1037304708764,-120.517619858174,11.0325225225225
"3",1976,38.181907697582,-120.405032171414,12.5561111111111
"4",1981,38.6107342047182,-120.513999131618,10.1501926782274
"5",1986,38.1823869882973,-117.840026467716,9.96119658119658
"6",1991,37.8747514036631,-117.494939486087,12.1150676506765
"7",1996,38.7195849819772,-114.328675532815,9.84225589225589
"8",2001,38.8608588847493,-114.256878901274,12.0506802721088
"9",2006,40.1446048735682,-116.172526105079,11.1057714958775
"10",2011,38.8797890242592,-115.215036020729,9.89119047619048
