"","year","centroid.lat","centroid.lon","mean_abund"
"1",1966,31.6449184049055,-87.5212221879774,4.17527646129542
"2",1971,31.7037486643702,-86.4914455577902,4.16280487804878
"3",1976,32.1620913330662,-87.099866760036,4.45380577427821
"4",1981,32.4927654593033,-87.4257004115044,3.89117283950617
"5",1986,30.4382349235549,-82.841057746426,4.94795640326975
"6",1991,28.1121600087885,-77.6024267530657,5.25378151260504
"7",1996,28.9677186831126,-79.1989386927998,5.66677685950413
"8",2001,28.4011524060961,-77.4726745940806,6.31625950054289
"9",2006,28.2464067005867,-76.6291606874221,7.24466158556446
"10",2011,28.2390005551254,-76.3997390985968,6.97332589285714
