"","year","centroid.lat","centroid.lon","mean_abund"
"1",1966,35.8397812230714,-115.953921430425,9.63194444444444
"2",1971,37.6494377531279,-116.55019279442,6.09245283018868
"3",1976,36.2032601294441,-115.84063439966,7.70449735449735
"4",1981,36.7529195009079,-116.900727778113,9.17823129251701
"5",1986,36.3562685856208,-112.849934649459,8.61216931216931
"6",1991,35.9909517648991,-109.496096061502,6.32541666666667
"7",1996,35.764834731436,-106.845778085836,6.24738095238095
"8",2001,35.914970276324,-106.205265827523,5.7286036036036
"9",2006,35.2594011847863,-103.160715934674,6.16690476190476
"10",2011,35.3227125679721,-106.287998648793,7.28221393034826
