"","year","centroid.lat","centroid.lon","mean_abund"
"1",1966,38.9446580609267,-95.9226960652144,1.69718309859155
"2",1971,40.1957141672647,-99.8240466962147,1.60252309879176
"3",1976,40.6941954665301,-97.782289123626,1.54502824858757
"4",1981,40.3133968143618,-96.523303738069,1.57674953959484
"5",1986,40.2116849786965,-96.9252422509023,1.58894993894994
"6",1991,38.6301485553996,-94.7723189807676,1.5463981042654
"7",1996,38.8825178665603,-95.7437181336744,1.49726271460965
"8",2001,37.6986342587178,-93.6841386620546,1.46875442321302
"9",2006,38.0457281356985,-95.5502468711421,1.50852930197835
"10",2011,37.683383890454,-95.248973232499,1.51230853391685
