"","year","centroid.lat","centroid.lon","mean_abund"
"1",1966,30.4897667549132,-105.996382848318,9.47708333333333
"2",1971,31.192645214276,-107.996801764039,8.18777777777778
"3",1976,32.1466219734553,-110.726690571378,7.40888888888889
"4",1981,32.1575613916395,-109.876325129886,5.95555555555556
"5",1986,32.4216866048682,-110.378353641368,8.41666666666667
"6",1991,31.2297937750456,-106.125489578527,8.13048433048433
"7",1996,30.8597309598238,-104.508934258322,9.12958333333333
"8",2001,30.796466667084,-104.80701804797,8.1920054200542
"9",2006,31.3292068688486,-106.1293501866,7.35380577427822
"10",2011,31.7819749852144,-107.737257317832,9.52591145833333
