"aou","time.window","centroid_lat","centroid_lon","mean_total_ai"
2890,1,36.2123707595593,-88.1676088703576,0.000189226260806571
2890,2,36.2263411620644,-88.2470887680284,0.000182594075837311
2890,3,36.2423769601358,-87.9913313158357,0.000176800135263505
2890,4,36.1753159814552,-88.3480963520624,0.000171767062909112
2890,5,36.3008368566082,-88.5589241513066,0.000160439835957659
2890,6,36.1531519737611,-88.3173797783158,0.000155465795571001
2890,7,36.2514458309523,-88.5383240068095,0.00014725033669503
2890,8,36.199629718629,-88.8510789727054,0.000139320324800285
2890,9,36.1381946996412,-89.0258371305217,0.000134983438501745
2890,10,36.1036958611243,-89.4549650089477,0.000124695674537325
2890,11,35.8201145021776,-89.5466651529438,0.000123833446769659
2890,12,35.8811412309825,-89.5998743102337,0.000117887428665987
2890,13,35.8723127577099,-90.0006106465029,0.000116987638137102
2890,14,35.9093955595085,-90.2968151767819,0.000111807321803883
2890,15,35.937911760785,-89.8669366714825,0.000114753065887449
2890,16,35.5609642308925,-89.7684424255131,0.000103932113697047
2890,17,35.7186356629878,-90.0547042269786,9.85715502417219e-05
2890,18,35.7770347427206,-90.0168420158063,9.70753843820248e-05
2890,19,35.8521833837453,-90.471452294471,9.11504426078628e-05
2890,20,35.8306174473946,-90.7395449370822,9.4355351212713e-05
2890,21,35.9190645500996,-91.2435770829606,9.33876014939187e-05
2890,22,35.9112850842198,-91.2711468768165,8.66740709638743e-05
2890,23,36.0350316538231,-91.7321163235585,8.58878081950296e-05
2890,24,35.9457323448019,-91.5967196077685,8.49089779723398e-05
2890,25,35.9896508929248,-91.7260544173273,8.02273337201707e-05
2890,26,35.9078248229762,-91.9669474486716,8.06391992554578e-05
2890,27,35.8208599156245,-91.9322645959524,7.62590857058278e-05
2890,28,35.7336189658144,-91.945872267829,7.40094516391981e-05
2890,29,35.8228765914197,-92.2358702900358,7.20321526494501e-05
2890,30,35.8129920390558,-92.2670232564211,6.81180530446814e-05
2890,31,35.7628758797605,-92.5778514233473,6.66609498996003e-05
2890,32,35.7599230812445,-93.3123730403273,7.04828455888692e-05
2890,33,35.6120324005154,-92.4688851301893,6.01461152668385e-05
2890,34,35.7822094765723,-93.0539128656495,6.23105352988113e-05
2890,35,36.0789449758561,-93.1176471354551,5.9781368806101e-05
2890,36,35.7681132788778,-92.987341295427,6.08299313079274e-05
2890,37,35.9319249936087,-93.6698850949069,6.13202016331823e-05
2890,38,35.9946654202473,-93.9038087688949,6.11563610875502e-05
2890,39,35.9083441335382,-93.8064564824823,5.47734902683093e-05
2890,40,36.0556332420281,-93.9689269767876,5.77564915126924e-05
2890,41,35.7339467351982,-94.491484691469,5.46468771673944e-05
