"","aou","shiftdist","velocity","bearing","r","lat_slope","lat_pval","lon_slope","lon_pval","direction","direction2","shiftdir","popchange"
"1",2890,420.861103467048,8.95449156312869,-90.463001721874,-1.11496586222128,0.0102290064388831,0.161368537777011,-0.0760901805051752,0.000136435542080335,"","west","west","decreasing"
"2",2930,81.6186343517557,1.73656668833523,-25.1244503728606,-0.719553811569608,0.00358381408460557,0.727601986785689,-0.00366443406071253,0.750981647412474,"","","","decreasing"
"3",2940,104.551576942809,2.22450163708104,24.1964688546289,-0.0617421366017233,0.0215284414671108,0.0224286996987458,0.0182321437983555,0.010401446593461,"north","east","northeast","decreasing"
"4",3080,559.526259947528,11.9048140414368,96.054632314699,0.0741983855858271,-0.0255555320128674,0.122229192485378,0.127742452983285,0.0103549432031242,"","east","east","increasing"
"5",3100,450.372007556373,9.5823831394973,-85.7006665517549,0.531547392286892,-0.0124465987437913,0.669168149982166,-0.144154786878853,0.000523056575670373,"","west","west","increasing"
"6",3200,382.096316365039,8.12970885883061,-77.700705462491,-0.295648542745779,0.00867880547103114,0.11522573266405,-0.0773085365474788,0.000117134422504026,"","west","west","decreasing"
"7",3210,377.676310099962,8.03566617233961,92.8898975272449,-0.531852990565167,0.0187007356242349,0.135819978993747,0.0423524997748054,0.199965239889505,"","","","decreasing"
"8",3260,81.3008512843855,1.72980534647629,-50.8514139661237,0.446943953692996,-0.00457510955261583,0.554925722022445,0.0295991394989191,0.536172619620608,"","","","increasing"
"9",3750,79.9478381415266,1.70101783279844,104.118128504681,-0.0450168253867226,-0.0108817232786375,0.249670378127321,0.0134875980624539,0.191467755674541,"","","","decreasing"
"10",3850,262.345244762987,5.58181371836142,113.231773026578,0.0881890541164872,-0.0160602345091101,0.00512691805051591,0.0552786306472832,0.000359484515856597,"south","east","southeast","increasing"
"11",3930,236.251558224591,5.02662889839555,-104.939923418149,0.19132159760001,-0.0184993546042607,0.0245352199667621,-0.0505464837127336,0.00260815204569422,"south","west","southwest","increasing"
"12",3940,261.506297475051,5.56396377606491,111.784884268214,0.147411859479213,-0.0234639625330945,0.00904045333351774,0.0497105646215558,0.00692879831009545,"south","east","southeast","increasing"
"13",4050,123.625634917392,2.63033265781686,47.6124045137241,0.157515122987688,0.0103413108963592,0.107266464825181,0.00332808203264165,0.819122240829307,"","","","increasing"
"14",4090,141.279213282236,3.00594070813268,-11.5678952800904,0.234668519634202,0.0208441631930755,0.00011563586512226,-0.0039290606934985,0.482615970772157,"north","","north","increasing"
"15",4780,272.902589282945,5.8064380698499,104.607712854387,-0.103688740634086,0.00135443189245869,0.941587687034664,0.0362783425867078,0.32866711226278,"","","","decreasing"
"16",4860,259.897919837443,5.52974297526475,-99.2793308992905,0.325558390146176,0.00027194682904081,0.967297122838606,-0.0660750668815555,0.000770876334805045,"","west","west","increasing"
"17",4900,290.307325418439,6.17675160464763,-6.69611978395983,-0.528071039018262,0.0589993428065068,8.38612977877237e-05,-0.0265113002216834,0.0871772443649729,"north","","north","decreasing"
"18",5120,462.578700362231,9.84210000770705,-47.0774527857489,-0.843725447681922,0.0684920607529349,4.57915854280024e-05,-0.100950306907345,1.40539442463295e-05,"north","west","northwest","decreasing"
"19",5300,132.732138210695,2.82408804703607,91.1183160382267,0.00203964839423464,-0.0213554643920922,0.235334562246562,0.0611036872901748,0.0637939671490191,"","","","increasing"
"20",5800,160.787609581094,3.42101296981052,-68.8964028001007,0.0692701402070514,0.0215246875941516,0.0556810733327873,-0.0681168853908425,0.0195645344863339,"","west","west","increasing"
"21",5930,84.9811129490999,1.80810878615106,-40.9200738737037,0.147661292539838,0.00922214636386816,0.0199791237793127,-0.0108958060578296,0.145812537268632,"north","","north","increasing"
"22",5940,161.66332621701,3.43964523865978,-45.5061846497234,-0.758943105348619,0.0285351659725008,0.0022807763262013,-0.0319673413463113,0.00580913664567413,"north","west","northwest","decreasing"
"23",7030,68.6542779450017,1.46072931797876,-45.2324086670902,-0.308788009376896,0.0108299341253838,0.000368373479190548,-0.0171468847386446,0.0410821930187556,"north","west","northwest","decreasing"
"24",7070,281.966269288018,5.99928232527697,-57.9633592062886,-0.288828936280056,0.0115228288083197,0.256001785486633,-0.0118318759562527,0.672592734455872,"","","","decreasing"
"25",7180,117.198001319477,2.49357449615909,15.1678774980802,0.353426280447348,0.0181221256476485,0.0154845916268316,-0.00818412855010079,0.306874831670887,"north","","north","increasing"
"26",7270,141.619427080316,3.01317929958119,146.977015873805,0.360451360464354,-0.00818197065238165,0.283057924299884,0.0185585923335587,0.182529732854759,"","","","increasing"
"27",7290,233.4473398195,4.96696467701064,54.6386078881306,0.0272827029081408,0.0203477484133371,0.000884282672399161,0.0209382613402289,0.125987715246168,"north","","north","increasing"
"28",7300,464.739727194478,9.88807930201017,113.82658291793,-0.0131805238473074,-0.00022140744843831,0.988450411815095,0.101028848704732,0.000245290199902326,"","east","east","decreasing"
"29",7310,107.689782904646,2.2912719766946,74.4660977768865,0.596734767449282,0.00843742353069179,0.314916902734397,0.0273134893711164,0.12714913320669,"","","","increasing"
"30",7350,441.085014900225,9.38478755106862,88.1445057165248,0.405082410519431,-0.00394217603146086,0.416998376405884,0.120111804097624,0.00127436604276558,"","east","east","increasing"
"31",7360,89.7128192755974,1.9087833888425,66.0778182318658,0.358562244608012,0.00340903605739303,0.58294439511905,0.0012184829701617,0.921487822506329,"","","","increasing"
"32",7380,311.393501955048,6.62539365861803,125.821546156951,-0.196063246232909,-0.0085301824374543,0.563608197082159,0.0652291246679667,0.0438302317704343,"","east","east","decreasing"
"33",7410,257.87253576388,5.48664969710383,14.083929606226,-0.0264860677062634,0.0126009688762729,0.469978030565224,0.014055095242644,0.000940482017795535,"","east","east","decreasing"
"34",7430,149.269606361947,3.17594907153079,2.22666244384065,-0.239903386042867,-0.00426184811778244,0.783339242428964,0.0567714332636967,0.124886132422231,"","","","decreasing"
"35",7460,182.486426569565,3.88268992701202,-48.8574641712835,0.16812162388899,0.0150481109526462,0.0195819345073412,-0.00386666640420641,0.79104219371147,"north","","north","increasing"
